Column Name,Short Label/Threshold,Formula (Coinalyze-safe),Notes
nihilus_3: Spot-Led Commitment,Spot-Led Commitment Score >2,"(PCHANGE(CVDSPOT('1h',20,true)[0,-1]) - PCHANGE(price_1h[0,-1])) * (SMA(volspot_1h,3)[0]/(AVG(vol_1h[-10:-1])+1))",>2 strong spot lead.
OI Fuel 1h change,OI Fuel 1hr change,"PCHANGE(oi_1h[-1,-2])",Prev-to-prior hour.
OI Multi-TF Score,OI Multi-TF Score,"(PCHANGE(oi_5m[0,-5]) + PCHANGE(oi_1h[0,-1]) + PCHANGE(oi_1h[0,-3]))/3",>0.6 build; <-0.6 unwind.
OI Unwind Trigger (5m),OI unwind : > 0= cascade dump starting,"-PCHANGE(oi_5m[0,-3])",>0 = unwind.
OI-Dollar Pulse 5m,oi price corr( +ve = pump),((oi_5m[0]*price_5m[0] - oi_5m[-3]*price_5m[-3]) / ((oi_5m[-3]*price_5m[-3])+0.001))*100,Correlates OI notional change.
Predicted FR change 1h,pred fr change 1hr,"PCHANGE(pfr_1h[0,-1])",Funding shift lead.
Price Δ 15m (ROC),Price Chg 15 m,"ROC(price_5m,3)[0]",3*5m bars.
Spot Vol Expansion (5m),Spot Volume Expansion,"SMA(volspot_5m,3)[0] / (AVG(volspot_5m[-20:-1])+1)",>1.1 expansion.
Stealth Accum Signal (1h),Stealth accum >5,"PCHANGE(oi_1h[0,-1]) - ((PCHANGE(price_1h[0,-1])*PCHANGE(price_1h[0,-1]))/100*5)",>5 pre-breakout.
Stealth OI Accum (flat px),Stealth OI Accum>4,"PCHANGE(oi_1h[0,-1]) - 3*((PCHANGE(price_1h[0,-1])*PCHANGE(price_1h[0,-1]))/100)",>4 constructive.
Stealth OI Accum 20h,OI Change 20h > 10,"PCHANGE(oi_1h[0,-20])",>10 good.
Price Range% 20h,price change 20h < 0.05,"((MAX(price_1h[-20:-1]) - MIN(price_1h[-20:-1])) / (SMA(price_1h,20)[0]+0.001))",<0.05 = flat.
Sustained OI Growth (1d),Sustained OI Growth,"PCHANGE(oi_1d[0,-5]) - PCHANGE(price_1d[0,-5])",>10 strong if price flat.
Taker Sell Pressure 1h,sell dom >0.55,SUM(volsell_1h[0:-1]) / (SUM(vol_1h[0:-1])+1),>0.55 dump risk.
Vol Spike 5m %,vol spike > 500,"PCHANGE(vol_5m[0,-1])",>500% spike.
